"Statistic Label","CensusYear","Sex","Means of Travel","At Work, School or College","UNIT","VALUE"
"Journey time < 15 mins","2022","Male","Bus, minibus or coach","Students at school or college aged 19 years and over","Number","637"
"Journey time < 15 mins","2022","Male","Train, DART or LUAS","All persons","Number","806"
"Journey time < 15 mins","2022","Male","Train, DART or LUAS","Population aged 15 years and over at work","Number","446"
"Journey time < 15 mins","2022","Male","Train, DART or LUAS","Children at school aged between 5 and 12 years","Number","65"
"Journey time < 15 mins","2022","Male","Train, DART or LUAS","Students at school or college aged between 13 and 18 years","Number","162"
"Journey time < 15 mins","2022","Male","Train, DART or LUAS","Students at school or college aged 19 years and over","Number","133"
"Journey time < 15 mins","2022","Male","Motorcycle or scooter","All persons","Number","1626"
"Journey time < 15 mins","2022","Male","Motorcycle or scooter","Population aged 15 years and over at work","Number","1487"
"Journey time < 15 mins","2022","Male","Motorcycle or scooter","Children at school aged between 5 and 12 years","Number","0"
"Journey time < 15 mins","2022","Male","Motorcycle or scooter","Students at school or college aged between 13 and 18 years","Number","73"
"Journey time < 15 mins","2022","Male","Motorcycle or scooter","Students at school or college aged 19 years and over","Number","66"
"Journey time < 15 mins","2022","Male","Motor car: Driver","All persons","Number","127059"
"Journey time < 15 mins","2022","Male","Motor car: Driver","Population aged 15 years and over at work","Number","122293"
"Journey time < 15 mins","2022","Male","Motor car: Driver","Children at school aged between 5 and 12 years","Number","0"
"Journey time < 15 mins","2022","Male","Motor car: Driver","Students at school or college aged between 13 and 18 years","Number","1414"
"Journey time < 15 mins","2022","Male","Motor car: Driver","Students at school or college aged 19 years and over","Number","3352"
"Journey time < 15 mins","2022","Male","Motor car: Passenger","All persons","Number","162342"
"Journey time < 15 mins","2022","Male","Motor car: Passenger","Population aged 15 years and over at work","Number","10481"
"Journey time < 15 mins","2022","Male","Motor car: Passenger","Children at school aged between 5 and 12 years","Number","111810"
"Journey time < 15 mins","2022","Male","Motor car: Passenger","Students at school or college aged between 13 and 18 years","Number","38553"
"Journey time < 15 mins","2022","Male","Motor car: Passenger","Students at school or college aged 19 years and over","Number","1498"
"Journey time < 15 mins","2022","Male","Van","All persons","Number","23347"
"Journey time < 15 mins","2022","Male","Van","Population aged 15 years and over at work","Number","22761"
"Journey time < 15 mins","2022","Male","Van","Children at school aged between 5 and 12 years","Number","380"
"Journey time < 15 mins","2022","Male","Van","Students at school or college aged between 13 and 18 years","Number","160"
"Journey time < 15 mins","2022","Male","Van","Students at school or college aged 19 years and over","Number","46"
"Journey time < 15 mins","2022","Male","Other, incl. lorry","All persons","Number","2668"
"Journey time < 15 mins","2022","Male","Other, incl. lorry","Population aged 15 years and over at work","Number","2473"
"Journey time < 15 mins","2022","Male","Other, incl. lorry","Children at school aged between 5 and 12 years","Number","118"
"Journey time < 15 mins","2022","Male","Other, incl. lorry","Students at school or college aged between 13 and 18 years","Number","57"
"Journey time < 15 mins","2022","Male","Other, incl. lorry","Students at school or college aged 19 years and over","Number","20"
"Journey time < 15 mins","2022","Male","Not stated","All persons","Number","3661"
"Journey time < 15 mins","2022","Male","Not stated","Population aged 15 years and over at work","Number","776"
"Journey time < 15 mins","2022","Male","Not stated","Children at school aged between 5 and 12 years","Number","2342"
"Journey time < 15 mins","2022","Male","Not stated","Students at school or college aged between 13 and 18 years","Number","484"
"Journey time < 15 mins","2022","Male","Not stated","Students at school or college aged 19 years and over","Number","59"
"Journey time < 15 mins","2022","Male","All means of travel","All persons","Number","467144"
"Journey time < 15 mins","2022","Male","All means of travel","Population aged 15 years and over at work","Number","208445"
"Journey time < 15 mins","2022","Male","All means of travel","Children at school aged between 5 and 12 years","Number","174383"
"Journey time < 15 mins","2022","Male","All means of travel","Students at school or college aged between 13 and 18 years","Number","70702"
"Journey time < 15 mins","2022","Male","All means of travel","Students at school or college aged 19 years and over","Number","13614"
"Journey time < 15 mins","2022","Female","On foot","All persons","Number","112762"
"Journey time < 15 mins","2022","Female","On foot","Population aged 15 years and over at work","Number","42228"
"Journey time < 15 mins","2022","Female","On foot","Children at school aged between 5 and 12 years","Number","44385"
"Journey time < 15 mins","2022","Female","On foot","Students at school or college aged between 13 and 18 years","Number","18177"
"Journey time < 15 mins","2022","Female","On foot","Students at school or college aged 19 years and over","Number","7972"
"Journey time < 15 mins","2022","Female","Bicycle","All persons","Number","6917"
"Journey time < 15 mins","2022","Female","Bicycle","Population aged 15 years and over at work","Number","3360"
"Journey time < 15 mins","2022","Female","Bicycle","Children at school aged between 5 and 12 years","Number","2607"
"Journey time < 15 mins","2022","Female","Bicycle","Students at school or college aged between 13 and 18 years","Number","473"
"Journey time < 15 mins","2022","Female","Bicycle","Students at school or college aged 19 years and over","Number","477"
"Journey time < 15 mins","2022","Female","Bus, minibus or coach","All persons","Number","15959"
"Journey time < 15 mins","2022","Female","Bus, minibus or coach","Population aged 15 years and over at work","Number","2990"
"Journey time < 15 mins","2022","Female","Bus, minibus or coach","Children at school aged between 5 and 12 years","Number","7707"
"Journey time < 15 mins","2022","Female","Bus, minibus or coach","Students at school or college aged between 13 and 18 years","Number","4302"
"Journey time < 15 mins","2022","Female","Bus, minibus or coach","Students at school or college aged 19 years and over","Number","960"
"Journey time < 15 mins","2022","Female","Train, DART or LUAS","All persons","Number","1024"
"Journey time < 15 mins","2022","Female","Train, DART or LUAS","Population aged 15 years and over at work","Number","505"
"Journey time < 15 mins","2022","Female","Train, DART or LUAS","Children at school aged between 5 and 12 years","Number","63"
"Journey time < 15 mins","2022","Female","Train, DART or LUAS","Students at school or college aged between 13 and 18 years","Number","266"
"Journey time < 15 mins","2022","Female","Train, DART or LUAS","Students at school or college aged 19 years and over","Number","190"
"Journey time < 15 mins","2022","Female","Motorcycle or scooter","All persons","Number","342"
"Journey time < 15 mins","2022","Female","Motorcycle or scooter","Population aged 15 years and over at work","Number","308"
"Journey time < 15 mins","2022","Female","Motorcycle or scooter","Children at school aged between 5 and 12 years","Number","0"
"Journey time < 15 mins","2022","Female","Motorcycle or scooter","Students at school or college aged between 13 and 18 years","Number","11"
"Journey time < 15 mins","2022","Female","Motorcycle or scooter","Students at school or college aged 19 years and over","Number","23"
"Journey time < 15 mins","2022","Female","Motor car: Driver","All persons","Number","156947"
"Journey time < 15 mins","2022","Female","Motor car: Driver","Population aged 15 years and over at work","Number","151517"
"Journey time < 15 mins","2022","Female","Motor car: Driver","Children at school aged between 5 and 12 years","Number","0"
"Journey time < 15 mins","2022","Female","Motor car: Driver","Students at school or college aged between 13 and 18 years","Number","1197"
"Journey time < 15 mins","2022","Female","Motor car: Driver","Students at school or college aged 19 years and over","Number","4233"
"Journey time < 15 mins","2022","Female","Motor car: Passenger","All persons","Number","170596"
"Journey time < 15 mins","2022","Female","Motor car: Passenger","Population aged 15 years and over at work","Number","17514"
"Journey time < 15 mins","2022","Female","Motor car: Passenger","Children at school aged between 5 and 12 years","Number","109687"
"Journey time < 15 mins","2022","Female","Motor car: Passenger","Students at school or college aged between 13 and 18 years","Number","41362"
