"Statistic Label","CensusYear","Sex","Means of Travel","At Work, School or College","UNIT","VALUE"
"Journey time 90 mins and over","2022","Both sexes","Motorcycle or scooter","Population aged 15 years and over at work","Number","100"
"Journey time 90 mins and over","2022","Both sexes","Motorcycle or scooter","Children at school aged between 5 and 12 years","Number","0"
"Journey time 90 mins and over","2022","Both sexes","Motorcycle or scooter","Students at school or college aged between 13 and 18 years","Number","1"
"Journey time 90 mins and over","2022","Both sexes","Motorcycle or scooter","Students at school or college aged 19 years and over","Number","15"
"Journey time 90 mins and over","2022","Both sexes","Motor car: Driver","All persons","Number","34567"
"Journey time 90 mins and over","2022","Both sexes","Motor car: Driver","Population aged 15 years and over at work","Number","31159"
"Journey time 90 mins and over","2022","Both sexes","Motor car: Driver","Children at school aged between 5 and 12 years","Number","0"
"Journey time 90 mins and over","2022","Both sexes","Motor car: Driver","Students at school or college aged between 13 and 18 years","Number","111"
"Journey time 90 mins and over","2022","Both sexes","Motor car: Driver","Students at school or college aged 19 years and over","Number","3297"
"Journey time 90 mins and over","2022","Both sexes","Motor car: Passenger","All persons","Number","3403"
"Journey time 90 mins and over","2022","Both sexes","Motor car: Passenger","Population aged 15 years and over at work","Number","1809"
"Journey time 90 mins and over","2022","Both sexes","Motor car: Passenger","Children at school aged between 5 and 12 years","Number","464"
"Journey time 90 mins and over","2022","Both sexes","Motor car: Passenger","Students at school or college aged between 13 and 18 years","Number","451"
"Journey time 90 mins and over","2022","Both sexes","Motor car: Passenger","Students at school or college aged 19 years and over","Number","679"
"Journey time 90 mins and over","2022","Both sexes","Van","All persons","Number","10245"
"Journey time 90 mins and over","2022","Both sexes","Van","Population aged 15 years and over at work","Number","10185"
"Journey time 90 mins and over","2022","Both sexes","Van","Children at school aged between 5 and 12 years","Number","1"
"Journey time 90 mins and over","2022","Both sexes","Van","Students at school or college aged between 13 and 18 years","Number","7"
"Journey time 90 mins and over","2022","Both sexes","Van","Students at school or college aged 19 years and over","Number","52"
"Journey time 90 mins and over","2022","Both sexes","Other, incl. lorry","All persons","Number","800"
"Journey time 90 mins and over","2022","Both sexes","Other, incl. lorry","Population aged 15 years and over at work","Number","775"
"Journey time 90 mins and over","2022","Both sexes","Other, incl. lorry","Children at school aged between 5 and 12 years","Number","2"
"Journey time 90 mins and over","2022","Both sexes","Other, incl. lorry","Students at school or college aged between 13 and 18 years","Number","10"
"Journey time 90 mins and over","2022","Both sexes","Other, incl. lorry","Students at school or college aged 19 years and over","Number","13"
"Journey time 90 mins and over","2022","Both sexes","Not stated","All persons","Number","413"
"Journey time 90 mins and over","2022","Both sexes","Not stated","Population aged 15 years and over at work","Number","257"
"Journey time 90 mins and over","2022","Both sexes","Not stated","Children at school aged between 5 and 12 years","Number","45"
"Journey time 90 mins and over","2022","Both sexes","Not stated","Students at school or college aged between 13 and 18 years","Number","28"
"Journey time 90 mins and over","2022","Both sexes","Not stated","Students at school or college aged 19 years and over","Number","83"
"Journey time 90 mins and over","2022","Both sexes","All means of travel","All persons","Number","80867"
"Journey time 90 mins and over","2022","Both sexes","All means of travel","Population aged 15 years and over at work","Number","62534"
"Journey time 90 mins and over","2022","Both sexes","All means of travel","Children at school aged between 5 and 12 years","Number","790"
"Journey time 90 mins and over","2022","Both sexes","All means of travel","Students at school or college aged between 13 and 18 years","Number","2800"
"Journey time 90 mins and over","2022","Both sexes","All means of travel","Students at school or college aged 19 years and over","Number","14743"
"Journey time 90 mins and over","2022","Male","On foot","All persons","Number","0"
"Journey time 90 mins and over","2022","Male","On foot","Population aged 15 years and over at work","Number","0"
"Journey time 90 mins and over","2022","Male","On foot","Children at school aged between 5 and 12 years","Number","0"
"Journey time 90 mins and over","2022","Male","On foot","Students at school or college aged between 13 and 18 years","Number","0"
"Journey time 90 mins and over","2022","Male","On foot","Students at school or college aged 19 years and over","Number","0"
"Journey time 90 mins and over","2022","Male","Bicycle","All persons","Number","0"
"Journey time 90 mins and over","2022","Male","Bicycle","Population aged 15 years and over at work","Number","0"
"Journey time 90 mins and over","2022","Male","Bicycle","Children at school aged between 5 and 12 years","Number","0"
"Journey time 90 mins and over","2022","Male","Bicycle","Students at school or college aged between 13 and 18 years","Number","0"
"Journey time 90 mins and over","2022","Male","Bicycle","Students at school or college aged 19 years and over","Number","0"
"Journey time 90 mins and over","2022","Male","Bus, minibus or coach","All persons","Number","9556"
"Journey time 90 mins and over","2022","Male","Bus, minibus or coach","Population aged 15 years and over at work","Number","5462"
"Journey time 90 mins and over","2022","Male","Bus, minibus or coach","Children at school aged between 5 and 12 years","Number","158"
"Journey time 90 mins and over","2022","Male","Bus, minibus or coach","Students at school or college aged between 13 and 18 years","Number","787"
"Journey time 90 mins and over","2022","Male","Bus, minibus or coach","Students at school or college aged 19 years and over","Number","3149"
"Journey time 90 mins and over","2022","Male","Train, DART or LUAS","All persons","Number","5386"
"Journey time 90 mins and over","2022","Male","Train, DART or LUAS","Population aged 15 years and over at work","Number","3885"
"Journey time 90 mins and over","2022","Male","Train, DART or LUAS","Children at school aged between 5 and 12 years","Number","9"
"Journey time 90 mins and over","2022","Male","Train, DART or LUAS","Students at school or college aged between 13 and 18 years","Number","185"
"Journey time 90 mins and over","2022","Male","Train, DART or LUAS","Students at school or college aged 19 years and over","Number","1307"
"Journey time 90 mins and over","2022","Male","Motorcycle or scooter","All persons","Number","93"
"Journey time 90 mins and over","2022","Male","Motorcycle or scooter","Population aged 15 years and over at work","Number","82"
"Journey time 90 mins and over","2022","Male","Motorcycle or scooter","Children at school aged between 5 and 12 years","Number","0"
"Journey time 90 mins and over","2022","Male","Motorcycle or scooter","Students at school or college aged between 13 and 18 years","Number","1"
"Journey time 90 mins and over","2022","Male","Motorcycle or scooter","Students at school or college aged 19 years and over","Number","10"
"Journey time 90 mins and over","2022","Male","Motor car: Driver","All persons","Number","22554"
"Journey time 90 mins and over","2022","Male","Motor car: Driver","Population aged 15 years and over at work","Number","20933"
"Journey time 90 mins and over","2022","Male","Motor car: Driver","Children at school aged between 5 and 12 years","Number","0"
"Journey time 90 mins and over","2022","Male","Motor car: Driver","Students at school or college aged between 13 and 18 years","Number","73"
"Journey time 90 mins and over","2022","Male","Motor car: Driver","Students at school or college aged 19 years and over","Number","1548"
"Journey time 90 mins and over","2022","Male","Motor car: Passenger","All persons","Number","2062"
"Journey time 90 mins and over","2022","Male","Motor car: Passenger","Population aged 15 years and over at work","Number","1311"
"Journey time 90 mins and over","2022","Male","Motor car: Passenger","Children at school aged between 5 and 12 years","Number","245"
"Journey time 90 mins and over","2022","Male","Motor car: Passenger","Students at school or college aged between 13 and 18 years","Number","221"
"Journey time 90 mins and over","2022","Male","Motor car: Passenger","Students at school or college aged 19 years and over","Number","285"
"Journey time 90 mins and over","2022","Male","Van","All persons","Number","10091"
"Journey time 90 mins and over","2022","Male","Van","Population aged 15 years and over at work","Number","10041"
"Journey time 90 mins and over","2022","Male","Van","Children at school aged between 5 and 12 years","Number","0"
"Journey time 90 mins and over","2022","Male","Van","Students at school or college aged between 13 and 18 years","Number","5"
"Journey time 90 mins and over","2022","Male","Van","Students at school or college aged 19 years and over","Number","45"
"Journey time 90 mins and over","2022","Male","Other, incl. lorry","All persons","Number","736"
"Journey time 90 mins and over","2022","Male","Other, incl. lorry","Population aged 15 years and over at work","Number","724"
"Journey time 90 mins and over","2022","Male","Other, incl. lorry","Children at school aged between 5 and 12 years","Number","1"
"Journey time 90 mins and over","2022","Male","Other, incl. lorry","Students at school or college aged between 13 and 18 years","Number","5"
"Journey time 90 mins and over","2022","Male","Other, incl. lorry","Students at school or college aged 19 years and over","Number","6"
"Journey time 90 mins and over","2022","Male","Not stated","All persons","Number","243"
"Journey time 90 mins and over","2022","Male","Not stated","Population aged 15 years and over at work","Number","167"
